"","gender","ethnicity","readk","read1","mathk","math1","school1","degreek"
"18892","male","cauc",NA,492,NA,529,"rural",NA
"149531","female","afam",NA,NA,NA,NA,NA,NA
"183334","male","cauc",390,419,444,446,"urban","bachelor"
"66141","male","afam",445,472,478,497,"inner-city","master"
"18269","male","cauc",439,604,494,545,"rural","bachelor"
"168956","female","afam",NA,NA,NA,NA,NA,NA
"45497","female","cauc",472,571,513,578,"rural","master"
"57629","female","cauc",NA,463,NA,502,"rural",NA
"31995","female","cauc",NA,548,NA,542,"suburban",NA
"6556","male","cauc",407,474,444,493,"rural","master+"
"8286","male","afam",NA,463,NA,567,"inner-city",NA
"131179","female","cauc",NA,454,NA,515,"rural",NA
"8414","female","cauc",463,505,449,518,"rural","master"
"109104","male","cauc",480,604,626,562,"suburban","bachelor"
"57897","male","afam",NA,NA,NA,NA,NA,NA
"78511","female","afam",397,NA,412,NA,NA,"bachelor"
"175437","male","afam",421,NA,449,481,"rural","bachelor"
"186008","male","cauc",NA,NA,NA,NA,NA,NA
"93055","male","cauc",NA,478,NA,545,"suburban",NA
"100967","male","cauc",NA,475,NA,490,"rural",NA
"65152","male","cauc",410,NA,412,NA,NA,"master"
"63279","male","afam",453,544,513,538,"rural","bachelor"
"102753","male","cauc",450,495,489,510,"suburban","master+"
"102922","female","cauc",470,NA,536,NA,NA,"bachelor"
"19079","male","cauc",421,430,506,425,"rural","bachelor"
"65995","male","cauc",424,NA,459,NA,NA,"specialist"
"46646","female","cauc",NA,NA,NA,NA,NA,NA
"58393","male","cauc",NA,NA,NA,NA,NA,NA
"42665","male","afam",NA,NA,NA,NA,NA,NA
"38844","female","cauc",463,629,536,601,"rural","master"
"49406","male","cauc",NA,NA,NA,NA,NA,NA
"147817","male","cauc",NA,431,NA,520,"inner-city",NA
"185736","male","cauc",NA,NA,NA,NA,NA,NA
"107050","male","cauc",393,NA,418,NA,"urban","bachelor"
"102680","male","cauc",NA,604,NA,584,"rural",NA
"54873","male","afam",NA,438,NA,495,"inner-city",NA
"80223","female","cauc",497,604,559,567,"suburban","master"
"153783","female","afam",NA,485,NA,500,"inner-city",NA
"16441","female","afam",400,NA,429,NA,NA,"bachelor"
"176666","female","afam",NA,NA,NA,NA,NA,NA
"177574","male","cauc",500,524,547,545,"rural","master"
"70059","female","afam",422,629,468,578,"suburban","bachelor"
"36428","female","cauc",421,445,418,444,"rural","bachelor"
"22890","male","cauc",450,509,478,562,"suburban","master"
"60586","male","cauc",NA,459,NA,477,"suburban",NA
"177600","male","cauc",NA,NA,NA,NA,NA,NA
"171245","male","cauc",453,527,547,653,"rural","bachelor"
"99174","male","afam",397,NA,434,NA,NA,"bachelor"
"145583","female","afam",NA,NA,NA,NA,NA,"bachelor"
"71595","female","afam",418,524,513,562,"inner-city","bachelor"
"62540","female","cauc",NA,505,NA,486,"urban",NA
"165441","male","afam",393,444,484,484,"rural","master"
"75791","male","afam",NA,NA,NA,NA,NA,NA
"167606","female","cauc",458,629,576,627,"suburban","bachelor"
"48337","female","cauc",445,544,449,515,"rural","master"
"129081","male","afam",NA,NA,NA,NA,NA,"bachelor"
"67846","male","cauc",439,629,484,553,"rural","master"
"154313","male","cauc",443,NA,520,NA,NA,"master"
"55119","male","afam",437,571,528,584,"suburban","bachelor"
"89670","male","afam",414,NA,434,NA,NA,"master"
"3417","female","hispanic",NA,NA,NA,NA,NA,NA
"127932","male","cauc",NA,NA,NA,NA,NA,NA
"58429","male","afam",NA,NA,NA,NA,NA,NA
"66574","female","cauc",NA,NA,NA,526,"rural","bachelor"
"133246","female","cauc",NA,499,489,553,"rural","bachelor"
"105609","female","afam",NA,439,NA,449,"suburban",NA
"64966","female","cauc",NA,604,NA,676,"rural",NA
"30905","male","cauc",NA,478,NA,507,"rural",NA
"100873","female","cauc",NA,524,NA,535,"suburban",NA
"78079","male","cauc",NA,457,NA,465,"rural",NA
"178955","male","cauc",NA,NA,NA,NA,NA,NA
"33072","male","cauc",NA,436,NA,484,"rural",NA
"11212","male","cauc",NA,NA,NA,NA,NA,NA
"112584","male","cauc",NA,NA,NA,NA,NA,NA
"127258","male","cauc",407,469,444,477,"suburban","bachelor"
"114135","male","cauc",NA,512,NA,486,"rural",NA
"65276","female","cauc",NA,NA,NA,NA,NA,NA
"3035","female","afam",442,629,559,627,"suburban","bachelor"
"14982","male","afam",419,428,484,470,"inner-city","bachelor"
"176025","male","cauc",407,NA,459,NA,NA,"bachelor"
"153146","male","afam",NA,NA,NA,NA,"inner-city",NA
"177607","male","afam",NA,NA,NA,NA,NA,NA
"40967","male","cauc",425,NA,454,NA,NA,"bachelor"
"1402","female","afam",NA,NA,NA,NA,NA,NA
"52319","female","cauc",424,NA,478,NA,NA,"master"
"41197","female","cauc",422,NA,459,578,"rural","bachelor"
"182426","female","afam",NA,442,NA,436,"inner-city",NA
"155115","female","cauc",461,571,478,538,"rural","master"
"69584","male","cauc",NA,497,NA,526,"rural",NA
"76157","female","afam",NA,497,NA,495,"rural",NA
"59360","male","afam",NA,NA,NA,NA,NA,NA
"132025","female","afam",440,488,494,493,"inner-city","bachelor"
"117821","female","afam",545,530,626,535,"inner-city","master"
"46184","male","afam",428,NA,506,NA,NA,"master"
"142433","female","cauc",407,466,384,502,"rural","master"
"72554","male","cauc",465,514,484,507,"rural","master"
"140795","female","cauc",445,533,513,538,"rural","bachelor"
"121679","male","afam",461,483,536,490,"inner-city","bachelor"
"5030","male","afam",NA,494,NA,493,"suburban",NA
"128941","male","afam",390,433,423,465,"inner-city","master"
